Name,Quantity,Category,ExpirationDate
Succulent Asparagus 1,18,Vegetables,2026-03-06
Ripe Apple 2,9,Fruits,2026-01-31
Large Spinach 3,4,Vegetables,2026-02-26
Sweet Bell Pepper 4,10,Vegetables,2026-02-19
Large Apple 5,1,Fruits,2026-02-01
Fresh Tomato 6,14,Vegetables,2026-02-03
Crunchy Grapes 7,2,Fruits,2026-03-05
Large Garlic 8,20,Vegetables,2026-02-12
Red Peach 9,7,Fruits,2026-02-24
Red Asparagus 10,13,Vegetables,2026-01-13
Green Strawberry 11,9,Fruits,2026-02-03
Crunchy Carrot 12,5,Vegetables,2026-01-17
Succulent Banana 13,13,Fruits,2026-01-19
Red Cherry 14,18,Fruits,2026-02-09
Fresh Pineapple 15,16,Fruits,2026-01-23
Organic Carrot 16,18,Vegetables,2026-02-01
Succulent Celery 17,2,Vegetables,2026-01-19
Red Potato 18,17,Vegetables,2026-01-24
Red Cauliflower 19,3,Vegetables,2026-02-20
Crunchy Plum 20,14,Fruits,2026-01-13
Large Strawberry 21,9,Fruits,2026-01-07
Large Broccoli 22,9,Vegetables,2026-01-10
Ripe Cabbage 23,1,Vegetables,2026-02-18
Organic Garlic 24,16,Vegetables,2026-01-31
Crunchy Zucchini 25,15,Vegetables,2026-02-12
Crunchy Raspberry 26,5,Fruits,2026-02-15
Crunchy Grapes 27,10,Fruits,2026-02-12
Organic Zucchini 28,10,Vegetables,2026-02-21
Small Blackberry 29,1,Fruits,2026-02-01
Ripe Broccoli 30,12,Vegetables,2026-01-30
Fresh Grapes 31,6,Fruits,2026-02-10
Crunchy Banana 32,13,Fruits,2026-01-12
Red Pineapple 33,3,Fruits,2026-03-07
Red Mango 34,9,Fruits,2026-02-03
Ripe Peach 35,12,Fruits,2026-02-02
Fresh Tomato 36,7,Vegetables,2026-03-02
Crunchy Lettuce 37,17,Vegetables,2026-01-29
Ripe Tomato 38,9,Vegetables,2026-02-19
Small Pear 39,14,Fruits,2026-01-28
Red Bell Pepper 40,6,Vegetables,2026-02-21
Organic Tomato 41,1,Vegetables,2026-02-15
Green Raspberry 42,8,Fruits,2026-01-08
Red Watermelon 43,7,Fruits,2026-02-24
Small Garlic 44,14,Vegetables,2026-01-23
Red Tomato 45,19,Vegetables,2026-01-06
Crunchy Cauliflower 46,11,Vegetables,2026-02-20
Sweet Celery 47,4,Vegetables,2026-02-01
Fresh Onion 48,11,Vegetables,2026-01-28
Green Cabbage 49,19,Vegetables,2026-01-13
Green Broccoli 50,17,Vegetables,2026-02-01
Crunchy Garlic 51,4,Vegetables,2026-03-03
Ripe Spinach 52,3,Vegetables,2026-03-03
Ripe Cherry 53,5,Fruits,2026-02-12
Large Peach 54,4,Fruits,2026-01-09
Small Bell Pepper 55,13,Vegetables,2026-02-12
Green Celery 56,17,Vegetables,2026-02-04
Large Orange 57,5,Fruits,2026-02-14
Small Zucchini 58,1,Vegetables,2026-02-28
Small Grapes 59,7,Fruits,2026-02-27
Fresh Tomato 60,5,Vegetables,2026-01-27
Succulent Spinach 61,1,Vegetables,2026-02-28
Fresh Cauliflower 62,7,Vegetables,2026-01-13
Ripe Cherry 63,4,Fruits,2026-01-15
Organic Apple 64,3,Fruits,2026-03-07
Small Cucumber 65,18,Vegetables,2026-02-28
Crunchy Bell Pepper 66,19,Vegetables,2026-02-23
Seasonal Potato 67,4,Vegetables,2026-01-18
Succulent Grapes 68,9,Fruits,2026-01-08
Sweet Raspberry 69,11,Fruits,2026-02-08
Green Cherry 70,3,Fruits,2026-01-11
Organic Blueberry 71,5,Fruits,2026-01-22
Organic Broccoli 72,4,Vegetables,2026-01-30
Seasonal Celery 73,11,Vegetables,2026-02-12
Succulent Apple 74,10,Fruits,2026-02-16
Succulent Cherry 75,18,Fruits,2026-01-29
Succulent Eggplant 76,19,Vegetables,2026-01-31
Red Kiwi 77,19,Fruits,2026-02-12
Seasonal Blueberry 78,17,Fruits,2026-02-24
Fresh Bell Pepper 79,14,Vegetables,2026-02-22
Sweet Bell Pepper 80,16,Vegetables,2026-02-25
Crunchy Blackberry 81,2,Fruits,2026-02-02
Fresh Carrot 82,14,Vegetables,2026-01-08
Seasonal Tomato 83,18,Vegetables,2026-03-02
Crunchy Watermelon 84,10,Fruits,2026-01-31
Green Blueberry 85,12,Fruits,2026-02-12
Fresh Eggplant 86,8,Vegetables,2026-02-09
Seasonal Eggplant 87,20,Vegetables,2026-01-21
Large Raspberry 88,17,Fruits,2026-01-14
Sweet Cabbage 89,17,Vegetables,2026-01-30
Crunchy Pineapple 90,18,Fruits,2026-02-12
Sweet Bell Pepper 91,5,Vegetables,2026-02-03
Organic Banana 92,17,Fruits,2026-01-27
Crunchy Banana 93,4,Fruits,2026-01-12
Red Celery 94,7,Vegetables,2026-02-10
Seasonal Kiwi 95,18,Fruits,2026-01-25
Organic Zucchini 96,14,Vegetables,2026-01-08
Crunchy Orange 97,6,Fruits,2026-02-07
Fresh Watermelon 98,10,Fruits,2026-01-28
Seasonal Cucumber 99,17,Vegetables,2026-02-22
Sweet Peach 100,5,Fruits,2026-02-04